"word","lemma"
"brennst","brennsen"
"Brettspiel","Brettspallen"
"Brettspiele","Brettspiel"
"brewing","brewehen"
"bricht","brechen"
"bright","brighen"
"bring","brehen"
"bringe","bringen"
"bringst","bringen"
"bringt","bringen"
"Bringt","bringen"
"Britt","Breten"
"broadcasting","broadcastehen"
"broadening","broadenehen"
"Brot","Brieten"
"Brownies","Browneisen"
"Brüdern","Bruder"
"bubble","bubbel"
"Bücher","Buch"
"Bücheregalen","Bücheregal"
"Büchern","Buch"
"Bügelutensilien","Bügelutensileinen"
"Bühne","bühne"
"building","buildehen"
"built","builen"
"Bums","Ben"
"bunt","bunen"
"bunte","bunen"
"bunten","bunen"
"bunter","bunt"
"Burger","Burg"
"Bürgeramt","Bürgeramen"
"burner","burn"
"Büros","Büro"
"burschenschaft","burschenschafen"
"Bursengasse","Bursengassen"
"Busanschluss","Busanschluß"
"buses","bus"
"Busfahrt","Busfahren"
"Bushalte","Bushalen"
"Business","Busineß"
"Buslinien","Buslinieen"
"Busses","Buß"
"Busverbindungen","Busverbindung"
"but","buen"
"But","Buen"
"butcher","butch"
"Butlers","Butler"
"Butter","Butt"
"Butze","Butzen"
"buying","buyehen"
"bwetrifft","bwetreffen"
"BWLer","BWL"
"Bzw","bzw"
"cabinet","cabinen"
"cable","cabel"
"Café","café"
"cafes","caf"
"Cafes","Cafe"
"cajones","cajon"
"cake","caken"
"CAN","Can"
"candidates","candidat"
"cannot","cannieten"
"canteen","cante"
"Capucine","Capucin"
"caracter","caract"
"care","car"
"caring","carehen"
"Carport","Carporen"
"casten","casen"
"Casten","Casen"
"casting","castehen"
"CASTING","Casting"
"Castingtermine","Castingtermin"
"castle","castl"
"CDs","CD"
"ceiling","ceilehen"
"Cent","cenen"
"center","cent"
"Center","Cent"
"centre","centrn"
"challenging","challengehen"
"Change","Chang"
"changes","chang"
"changing","changehen"
"Charakter","Charakte"
"charge","charg"
"charmant","charmanen"
"charmante","charmanen"
"charmanten","charmanen"
"charmanter","charmant"
"charmanterweise","charmanterweisen"
"Charme","Charm"
"charming","charmehen"
"chat","chaben"
"Chat","Chaben"
"Checkliste","Checklisen"
"Chemie","Chemi"
"chemische","chemisch"
"chest","chesen"
"chillige","chilligen"
"chilliger","chillig"
"chilling","chillehen"
"chillt","chillen"
"chitchat","chitchaben"
"choosing","choosehen"
"Chorkonzerte","Chorkonzeren"
"Christine","Christin"
"ciel","callen"
"cleaner","clean"
"cleaning","cleanehen"
"climate","climaen"
"climbing","climbehen"
"closest","closesen"
"closet","closen"
"Closet","Closen"
"clothes","cloth"
"Club","club"
"coach","coechen"
"Cocktailabende","Cocktailabend"
"Cocktailgläsern","Cocktailgläser"
"code","cod"
"Codewort","Codeworen"
"cognitive","cognitiv"
"Collegiums","Collegium"
"come","comen"
"comedor","comedören"
"comfort","comforen"
"comfortable","comfortabel"
"coming","comehen"
"commitment","commitmenen"
"commune","commun"
"communicating","communicatehen"
"communicative","communicativ"
"commuting","commutehen"
"compartment","compartmenen"
"compatible","compatibel"
"complete","complen"
"completing","completehen"
"comunes","comun"
"concrete","concreten"
"conducting","conductehen"
"conexiones","conexion"
"connect","connecen"
"considerate","consideraen"
"consist","consisen"
"consumables","consumabl"
"contact","contacen"
"Contact","Contacen"
"continuing","continutehen"
"contract","contracen"
"contrast","contraben"
"contribute","contribuen"
"contributes","contribut"
"convenience","convenienc"
"convenient","convenienen"
"convinces","convinc"
"Cookies","Cookeisen"
"cooking","cookehen"
"COOL","cool"
"coole","cool"
"cooler","cool"
"cooles","cool"
"corner","corn"
"cost","cosen"
"couches","couch"
"couple","couplen"
"couples","coupl"
"court","couren"
"create","creaen"
"creating","createhen"
"creative","creativ"
"Creative","Creativ"
"Crossffitt","Crossffeten"
"cuisine","cuisin"
"Culture","culture"
"current","currenen"
"curtains","curtain"
"cute","cuen"
"cycle","cyclen"
"cycling","cyclehen"
"DAb","Deben"
